ID,Date,Category,Layer,Entity / Scope,What the source says,What we did,Why / basis,Rows affected
HQ-001,2026-09-03,Location,Equipment,"52 equipment entities: 27 CEF car-park exhaust fans, 11 GEF general exhaust fans, 5 heat exchangers HEX01-HEX05, 4 chilled-water booster pumps CHW_CHWP01-04, 4 TEF toilet exhaust fans, CCU_B0005",Their rec:locatedIn object is the literal placeholder entity:<Location> - the template text was never replaced with a room.,"Left the rows as delivered and flagged all 52. One is settled by the screens: CCU-B-0005 leads into VIP Parking B.115 on HQ/Basment Floor/BF-2, alongside CCU-B-0006/0007/0008 which the ontology already puts there.","entity:<Location> is not a room. It converts to a dangling reference in the TTL and the front end has nothing to place the unit against. QNL-043 on the QNL sheet is the precedent for a fix - rec:locatedIn the building entity where no room is known - but that was a decision taken on an ontology we build, and HQ is a delivered model, so it is raised here rather than applied.",52
HQ-002,2026-09-03,Location,Equipment,"HEX, DX_CP, DX_ODSB0101, DX_ODSB0102, DX_ODSB0201, DX_ODSB0202",The rec:locatedIn row exists but its object cell is empty.,Left as delivered and flagged all six.,"An empty object is a triple with two terms. It is a different defect from the placeholder above and needs a different fix, so it is logged apart.",6
HQ-003,2026-09-03,Location,Equipment,"entity:HQ_ELEC_Gen2, entity:HQ_ELEC_Gen3",Both generators carry brick:hasPoint rows but no rec:locatedIn row at all.,Left as delivered and flagged both.,"These are the only two top-level HQ entities carrying points with no location row. The other 95 hits are VFD and electrical-meter sub-entities that hang off a parent and are located with it, which is correct.",2
HQ-004,2026-09-03,Location,Equipment,"entity:HQ_FCU0097, entity:HQ_FCU00133","Both carry rec:locatedIn entity:<FCU-Ref_Location> - a second, differently spelled placeholder.","Reported. Outside the scope of the equipment pass, which excludes AHU, VAV and FCU, so these two are not in HQ_SSC_equipment_rooms.xlsx.",Logged so a search for entity:<Location> is not mistaken for a complete list of unlocated HQ equipment. FCU0097 does have a screen reading from the earlier pass: B.512 IDF ROOM on HQ/Basment Floor/BF-2.,2
HQ-005,2026-09-03,Scope,Equipment,"18 car-park fans: JF-B-0001 to JF-B-0010, IF-B-0001 to IF-B-0008","All 18 are drawn and tagged on the HQ car-park screens. The ontology has no entity for any of them - not unlocated, absent.",Listed all 18 in HQ_SSC_equipment_rooms.xlsx with the screen they appear on.,"Jet fans and induction fans are the car park ventilation. They are monitored on the BMS, so the historian has their points, and an ontology that omits them leaves those points unreachable.",18
HQ-006,2026-09-03,Location,Equipment,The 27 CEF car-park exhaust fans of HQ-001,"Each CEF B-number maps to a car park deck screen, so the screens do say which deck the fan is on.",Recorded the deck against each fan; did not invent a room.,"The car park decks carry no room names at all - bay numbers, Exit and Public Vehicle Out, nothing else. The deck is real information but it is not a room, so the 52 placeholders cannot be closed from these screens.",27
HQ-007,2026-09-03,Location,Equipment,"DX-B-0011, DX-B-0016, DX-B-0003, CCU-B-0003A",The ontology room and the room the serving-area leader points at differ. DX-B-0011: B1.009 MV SWITCH ROOM against UPS Room B.26. DX-B-0016: B1.018 PA ROOM against AHU-3 B.022. CCU-B-0003A: B1.106 VVIP PARKING 6 CAR SPOTS against the Chauffer Room B.117 band. DX-B-0003 lands in an unlabelled cell east of Transformer Substation B.010.,Did not overwrite. Wrote the screen room beside the ontology room and flagged all four.,"Two as-built sources disagree and neither is provably right. DX-B-0003 is flagged for a different reason: the screen has no name for the cell the dot is in, so it cannot confirm the ontology room either way.",4
HQ-008,2026-09-03,Location,Equipment,"CCU-B-0005, CCU-B-0006, CCU-B-0007, CCU-B-0008",An earlier draft of this pass flagged eight HQ CRACs on the grounds that a CRAC located in a parking bay looked like a fill error.,"Flag withdrawn. The screens show all four leaders running into VIP Parking B.115, which is what the ontology says for three of them.","That flag was an inference about what is plausible, not a reading off a screen. Once HQ.zip arrived the screens settled it, and a plausibility hunch that survives into the sheet is indistinguishable from evidence.",4
HQ-009,2026-09-03,Scope,Equipment,The HQ BMS screen pass,"31 HQ floor-plan screens were supplied, across the basement, ground, 1F-11F, the roof and the car park decks.","19 HQ units were read off them in the AHU/VAV/FCU pass and 9 in the equipment pass. HQ screens label rooms outside the room polygon, joined by their own dashed pointer, so each reading resolves the polygon first and then finds the label pointing into it.","Reading the nearest text instead of the polygon is what put VAV0026 in the lobby. Every HQ reading carries its screen and an ok/check confidence, and units the screens do not settle are left blank with a reason.",28
HQ-010,2026-09-03,Location,Equipment,"Screen findings across the three buildings reviewed - QNL, HQ, SSC",The same serving-area leaders were traced on all three buildings for which screens exist. RDC has never had screens supplied.,"QNL: 230 of 551 register rows read across 17 screens, 78 raised for review (19 outright disagreements, 59 wanting a second look), 321 left blank each with a recorded reason. HQ: 19 plus 9 units over 31 screens. SSC: 87 plus 19 units over 7 screens.","One method, three buildings, so the findings are comparable. HQ is the only one of the three whose ontology leaves equipment unlocated - 52 placeholders, 6 empty objects, 2 with no location row and 18 units with no entity at all. SSC has none of that but has the DX fill-down; QNL's largest finding is 27 second-floor units carrying first-floor rooms.",0
