ID,Date,Category,Layer,Entity / Scope,What the source says,What we did,Why / basis,Rows affected
QNL-007,2026-08-24,Spelling,Rooms,24 room names,"Hand-typed schedule carries misspellings (CARRLES, VENTILATON, GREEM)","Corrected whole tokens only, on the name segment",Each settled against a sibling room that spells it correctly - never guessed. Names reach users through rdfs:label_en.,24
QNL-008,2026-08-24,Spelling,Rooms,11 room names,"Run-together words (REST_ROOMMEN, ABLUTIONMEN, INDIVISTUDY)",Restored the separator only; wording unchanged,Every sibling room writes the two tokens apart. No abbreviation was expanded.,11
QNL-009,2026-08-24,Spelling,Rooms,"INDIVI_STUDY_ROOM (6 rooms), B046_ITT",INDIVI probably means INDIVIDUAL; ITT sits in the room-number segment,Left as-is,"Expanding an abbreviation is a rewrite, not a correction; ITT may be a drawing code and a join key. Client's call.",7
QNL-010,2026-08-24,Spelling,Equipment,All asset tags,Register tags may contain errors,Left completely untouched,Asset tags are the BMS join key. Only room names were corrected.,0
QNL-011,2026-08-24,Units,Points,20 brick:Electric_Power_Sensor points,"IO list gives '%' on 20 of its 24 .kW tags, against a description reading 'Power'",Overrode to unit:KiloW,A power sensor cannot read a percentage. Dar Cairo uses unit:KiloW on all 559 of its Electric_Power_Sensor points.,20
QNL-012,2026-08-24,Units,Points,22 AHU air-flow points,IO list gives 'm/s' (a velocity) on Supply_/Return_Air_Flow_Sensor,Overrode to unit:L-PER-SEC,"Dar Cairo uses L-PER-SEC on all 51 air-flow sensors, SSC on all 118; unit:M-PER-SEC occurs 0 times in either model, and no point in the IO list is named 'velocity'.",22
QNL-013,2026-08-24,Units,Points,30 analog rows in the Selected sheet,"Humidity and temperature units transposed (AvgSpcHumd as degC, AvgSpcTemp as %rH)",Took units from the IO list instead,The IO list has both right. The Selected sheet is not used as the unit authority anywhere.,30
QNL-014,2026-08-24,Units,Points,64 brick:Relative_Humidity_Sensor points,Dar Cairo uses unit:PERCENT on this class,Used unit:PERCENT_RH,Dar Cairo contradicts itself - its Return_ and Supply_Air_Humidity_Sensor both use PERCENT_RH. SSC and the IO list agree with PERCENT_RH.,64
QNL-015,2026-08-24,Units,Points,22 brick:Speed_Sensor points,SSC uses unit:RPM on this class,Used unit:PERCENT,SSC's are Motor_Speed_Fbk (shaft RPM); QNL's are fan VFD SpeedFbk in % of max. Dar Cairo's Speed_Command is PERCENT on all 88.,22
QNL-016,2026-08-24,Units,Points,295 brick:Air_Flow_Sensor points,Dar Cairo uses unit:UNITLESS on this class,Used unit:L-PER-SEC,"A flow is not dimensionless - Dar Cairo's value is a missing unit, not a convention. Its own specific flow classes all use L-PER-SEC.",295
QNL-017,2026-08-24,Units,Points,14 brick:Damper_Position_Command points,"Dar Cairo is mixed: UNITLESS x28, PERCENT x1",Used unit:PERCENT,Dar Cairo's unitless ones read as binary open/close. Its Speed_Command is PERCENT on all 88 and Damper_Position_Sensor PERCENT on all 74.,14
QNL-018,2026-08-24,Class,Points,4 CHW temperature point signatures,brick:Chilled_Water_Supply/Return_Temperature_Sensor are deprecated in Brick 1.4,Kept the deprecated Dar Cairo class; recorded the replacement in the ledger note,Client directed - the class is the established join key. Each raises an expected W-TYP-4 naming the entering/leaving replacement.,64
QNL-019,2026-08-24,Class,Points,22 fan trip-alarm points,SSC types its own _TripAlm points as the bare brick:Alarm,"Coined para:Trip_Alarm (subClassOf brick:Alarm), defined in row 3",brick:Alarm is reserved for a literal general/summary alarm; SSC's bare typing makes trips indistinguishable from every other alarm.,22
QNL-021,2026-08-24,Location,Equipment,"entity:QNL_CAV_1F_S15_001, entity:QNL_VAV_B_S13_005","Named in the Selected points sheet but absent from the asset register - no room, no Fed By","Modelled both units and their 6 points WITHOUT rec:locatedIn, rec:feeds or rec:isFedBy","Rule 1: model the asset and its datapoints, assert nothing about position. Inventing a location would read as surveyed fact. Raises 2 E-FEED-1 and 2 W-GR-2, accepted here.",10
QNL-022,2026-08-24,Scope,Points,entity:QNL_VAV_1F_S15_039S,"In the asset register and the historian, but the Selected sheet lists no points for it","Added the 3 points its 245 siblings carry, taken from the historian","Rule 1: points exist in the historian, so they are modelled. The family's own selected signature decides which, so the unit matches its siblings. Its other 5 historian points are not selected on any sibling either.",6
QNL-023,2026-08-28,Structure,Metadata,"12 equipment families (AHU, FCU, DX, HEX, pumps, CCU, EF, generator, pressurisation, climate)","Manufacturer datasheets give properties per component (cooling coil, fans, motors, outdoor unit)","Added the 16 metadata predicates in the Dar Cairo/SSC/HQ row shapes: literals as props, quantities as <blanknode> value+unit; component properties on brick:hasPart sub-entities (CHW-Coil, SF, RF, Motor, OD) - all Brick 1.4 classes, no para: minted",The three reference models attach component metadata to sub-entities and write quantities as blanknodes,977
QNL-024,2026-08-28,Units,Metadata,All quantity metadata rows,"QF HQ v0.4 carries several wrong brick:hasUnit (air flow as unit:V, cooling capacity as unit:HZ)","Took brick:value and brick:hasUnit from the workbook's 'Value (Dar Cairo)' / 'Unit (QUDT)' columns, never HQ's",Dar Cairo is the unit authority; HQ's own README documents its units as wrong,882
QNL-025,2026-08-28,Identifier,Metadata,"Heat exchangers, pumps, generator","Datasheets tag them PHX/B/01-05, CHWP/B/01-04, 'GENERATOR SET'; the ontology has HEX01-05, CHW_P01-04, ELEC_Gen","Joined HEX by index (PHX/B/0n -> HEX0n, user-confirmed), pumps CHWP/B/0n -> CHW_P0n, generator -> ELEC_Gen",Prefixes differ but the units correspond 1:1 by number/position,10
QNL-026,2026-08-28,Scope,Metadata,FCU family - 94 of 137 units,"FCU datasheets are 28 Euroclima selection sheets keyed by position (B/03,04; 1F/04-54), one model per group",Expanded each selection-sheet tag to the FCUs it names and wrote its model/capacity/flow/power to every unit in the group,The selection sheet groups identical units under one model; the group tag names them explicitly,94
QNL-027,2026-08-28,Scope,Metadata,FCU 2F 06-33; closed control units; climate & pressurisation units; out-of-range CAV/VAV/EF,Their datasheet tags do not correspond to any ontology entity (2F numbers 06-33 vs 034-062; CC/B vs CCU_808n; no MCG/PU entity; units absent from the register),Left them without metadata and reported every tag in QNL_metadata_join_report.csv; did not guess a join,"User confirmed FCU 2F 06-33 are different units, not a numbering offset; the rest have no matching entity - do not assume metadata a source cannot place",94
QNL-028,2026-08-28,Identifier,All layers,Every subject/object identifier,"Points were named as BMS tokens (AvgSpcHumd_PV, RunSts); equipment/rooms used '_' between word-parts","Aligned to Dar Cairo: datapoints renamed to dashed English from label or class (Return-Temperature, Run-Status); equipment/part tags kept their industry codes (AHU, SF, CHW-Coil) with '_'->'-' within the tag; 277 room name-words dashed. ref:hasTimeseriesId/para:hasEntityId untouched; crosswalk written","Client asked to match Dar Cairo's naming convention; camelCase 71%->0%, join keys preserved via the crosswalk",3753
