ID,Date,Category,Layer,Entity / Scope,What the source says,What we did,Why / basis,Rows affected
RDC-001,2026-09-03,Scope,All layers,The RDC BMS screen pass,"RDC had no BMS screens and no drawings for the whole of this project - the reason its sheet stood empty. 47 screens have now been supplied, covering the North building, the South building, the Utility building and the pedestrian walkway between north and south.","Traced every serving-area leader on all 47 and read the room each one ends in. 1,033 unit widgets were found; 410 of their leaders reach a dot. 305 of the 1,759 register rows now carry a reading - 90 agree with the register, 49 name a different room, 12 are the same room written two ways and 154 want a second look.",The screens are the live BMS graphic and the only as-built source RDC has. The tracer says where to look; every room was named by reading the screen.,305
RDC-002,2026-09-03,Scope,Equipment,"1,454 register rows with no reading",Most RDC assets are not drawn as their own widget on any screen.,"Left column J empty and put the reason in column M, row by row: 1,373 have no screen covering them at all (the 644 AT air terminals are the bulk), 21 end in floor the screen does not name, 14 end on a wall between two rooms, 12 are in the unnamed penthouse and 1 leader could not be followed.","A blank with a reason is a question for the client. A guessed room is indistinguishable from a read one once it is in the sheet, and nobody can tell them apart afterwards.",1454
RDC-003,2026-09-03,Location,Equipment,"SB-AHU8031, 8032, 8033, 8034, 8035 and 8037",All six carry COMPUTER RESEARCH LAB S-1112 in the register.,Did not overwrite. Recorded Mech S-0136 beside each and flagged all six.,"All six leaders run into Mech S-0136, and they do so on two different screens - South GF-5 and South GF-7. Six units sharing one room where two independent screens put them in the plant room reads as a filled-down cell, not as six readings. SB-AHU8037 is the exception within the group: its leader goes to Cyber Server S-0138.",6
RDC-004,2026-09-03,Location,Equipment,49 units whose screen room differs from the register,"The register room and the room the leader ends in name different places. 30 are in the north building, 17 in the south, 2 in the utility building.",Did not overwrite. Wrote the screen room in column J and flagged the row.,"Two as-built sources disagree and neither is provably right - the screen is the live graphic, the register room came from the drawings. Both are recorded so the client can settle it.",49
RDC-005,2026-09-03,Location,Equipment,154 units read with a caveat,"The leader reaches a dot, but the dot sits on a wall between two rooms, or in open floor that carries a room name without a wall around it.",Recorded the room and said in column M exactly what the caveat is.,"These are readings, not guesses, but a reviewer should see the caveat rather than take the room on trust. They are filled green with the disagreements.",154
RDC-006,2026-09-03,Identifier,Rooms,12 rooms named two ways,"The register writes a first-floor room N-1143 where the screen writes N-143, and S-1159 where the screen writes S-0159 - the level digit differs and the number does not. The names are abbreviated differently too: Conf against Conference, Workstation against Work Station, TC3 against Tissue Culture 3, Mscopy1 against Mscope Room.",Scored these CONVENTION rather than DIFF and flagged them. No room was changed.,"They are the same room, not a disagreement about which room - reporting them as conflicts would have been wrong, and they did read as conflicts until the room number was compared apart from the level prefix. The ontology still has to use one spelling, which is why they are flagged.",12
RDC-007,2026-09-03,Source defect,Rooms,entity room name HY Room N-1404J,The register spells it HY Room; the BMS screen spells it HV Room.,Left the register text as-is and raised it.,HV - high voltage - is the reading the screen supports and the one the rest of the estate uses. A single-letter difference in a room name is the kind of defect that survives every validator.,1
RDC-008,2026-09-03,Identifier,Equipment,Constant-volume terminals,The screens label them CAV and the register labels them AT. The register carries one CAV row against 510 AT rows.,"Joined CAV readings to AT rows on the unit number, and said so in column M on every row joined that way.","One CAV row against 510 AT rows says AT is the register word for the same thing. It is still an inference rather than a reading, so it is stated on the row rather than left to look like a plain match.",0
RDC-009,2026-09-03,Identifier,Equipment,"AHU tags, and RDC_NB_2F_2F_AHU8513","AHU tags carry no level segment where every other family does - RDC_UB_AHU8601, not RDC_UB_MF_AHU8601. One tag carries its level twice: RDC_NB_2F_2F_AHU8513.","Made the join accept a level-less form, and left both tag shapes untouched.",Asset tags are the BMS join key and are not ours to reshape. The doubled level segment is a typo in the register worth correcting at source.,0
RDC-010,2026-09-03,Scope,Equipment,Exhaust fans - the whole family,The register has no EF rows at all.,"Listed the nine read off the screens - SB-EF-8041 to 8044 and UB-EF-8642 to 8646 - with the room each serves, in the project README. They have no row in the sheet to carry a reading.","They are drawn and tagged on the BMS, so the historian has their points, and a register that omits them leaves those points unreachable. NB-EF-8553, NB-EF-8554 and the second-floor ERU units are absent for the same reason.",0
RDC-011,2026-09-03,Scope,Equipment,"CAV/CEV pairs 7590/7591, 7610/7611, 7760/7761",Each pair is one widget on the screen. The register carries the CEV half and no CAV row.,Recorded the reading against the CEV row and said so in column M.,Losing the reading because half the pair is missing would hide both the reading and the gap.,3
RDC-012,2026-09-03,Source defect,Rooms,The second-floor penthouse screens,"North SF-1 to SF-4 name only their electrical rooms and IDFs - Normal Elec. N-2107, Emer. Elec. N-2108, IDF N-2110 and their neighbours. The penthouse floor itself carries no room name at all.",Left 12 units blank with that reason rather than inventing a name.,"The leaders are clear and the dots are unambiguous; it is the room name that does not exist on the drawing. This is a question for the client, not a tracing failure.",12
RDC-013,2026-09-03,Structure,Rooms,The double-height high bay spaces,"CSP High Bay N-0215B, Machine Shop N-0215C and the Level 0 high bay labs are drawn on the ground floor screen and again on the first floor one.","Took the register level rather than the screen level where the screen level matches no tag, and noted it on each row.","They run through both levels, so both screens show them; the units are ground floor units and the register has no first floor twin. Taking the level from the screen would have invented a tag that matches nothing and dropped the reading without a word.",7
